title,yearReleased,runtimeinmins,genre,rating
Anak ni Zuma,1987,115,"Action, Horror, Sci-Fi            ",5.8
Anakan mo ako,1999,99,"Drama, Romance            ",6.2
"And Ai, Thank You!",2019,80,Comedy            ,7.4
And I Love You So,2009,120,"Drama, Romance            ",6.8
"Andrea, paano ba ang maging isang ina?",1990,105,Drama            ,7.4
Andrew Ford Medina: Wag kang gamol,1991,100,Comedy            ,6.2
Ang agimat: Anting-anting ni Lolo,2002,115,"Action, Fantasy, Adventure            ",6.0
Ang alamat ng lawin,2002,100,"Action, Family, Fantasy            ",5.2
Ang alamat ni Julian Makabayan,1979,92,Action            ,8.6
Ang babae sa bintana,1998,103,"Action, Drama, Thriller            ",7.4
Ang babae sa septic tank,2011,87,Comedy            ,7.1
Ang babae sa septic tank 2: #ForeverIsNotEnough,2016,90,Comedy            ,6.5
Ang babaeng allergic sa wifi,2018,104,Romance            ,6.2
Ang babaeng humayo,2016,226,Drama            ,7.2
Ang babaeng putik,2000,105,"Action, Thriller, Horror            ",5.4
Ang babaeng walang pakiramdam,2021,83,Comedy            ,6.4
Ang bagong dugo,2014,80,Action            ,8.8
Ang bagong pamilya ni Ponching,2016,98,Comedy            ,7.7
Ang beerhouse,2009,111,"Comedy, Drama            ",5.8
Ang cute ng ina mo!,2007,102,"Comedy, Drama            ",5.7
Ang daan patungong kalimugtong,2005,89,Drama            ,7.4
Ang dalawang Mrs. Reyes,2018,104,Comedy            ,6.4
Ang dalubhasa,2000,115,"Action, Drama            ",7.7
Ang damgo ni Eleuteria,2010,90,Drama            ,4.1
Ang darling kong aswang,2009,117,Comedy            ,6.6
"Ang galing galing mo, Babes",2002,109,Drama            ,7.0
Ang guro kong 'di marunong magbasa,2017,105,Drama            ,7.6
Ang hapis at himagsik ni Hermano Puli,2016,108,History            ,5.8
Ang henerasyong sumuko sa love,2019,100,"Drama, Romance            ",6.6
Ang huling birhen sa lupa,2003,99,Drama            ,5.2
Ang huling cha-cha ni Anita,2013,111,"Comedy, Drama            ",7.5
Ang huling henya,2013,125,"Action, Comedy, Sci-Fi            ",6.3
Ang hupa,2019,279,"Drama, Sci-Fi            ",6.9
Ang kababaihan ng Malolos,2014,85,Drama            ,8.7
Ang kabit ni Mrs. Montero,1999,96,"Drama, Romance            ",6.6
Ang kuya kong siga,1993,116,Comedy            ,6.3
Ang kwento nating dalawa,2015,95,"Drama, Romance            ",5.6
Ang lalake sa parola,2007,108,"Drama, Romance            ",5.4
Ang lalaki sa buhay ni Selya,1997,96,Drama            ,7.7
Ang larawan,2017,124,"Drama, Musical, Romance            ",6.9
Ang laro ng buhay ni Juan,2009,80,Drama            ,5.7
Ang lihim ni Antonio,2008,117,"Crime, Drama            ",6.5
Ang maestro,1981,148,"Action, Drama            ",6.5
Ang manananggal na nahahati ang puso,2021,98,Comedy            ,4.9
Ang manananggal sa unit 23B,2016,95,"Drama, Horror, Romance            ",6.1
Ang misyon: A Marawi Siege Story,2018,97,Drama            ,7.5
Ang nawawala,2012,115,Drama            ,7.3
Ang nerseri,2009,88,Drama            ,6.5
Ang ninanais,2010,120,"Documentary, Drama            ",7.8
Ang padrino,1984,141,"Action, Drama            ",8.2
Ang pagbabalik ni Pedro Penduko,1994,111,"Action, Adventure, Comedy            ",7.2
Ang pagdadalaga ni Maximo Oliveros,2005,100,Drama            ,6.9
Ang pagsanib kay Leah Dela Cruz,2017,97,"Drama, Horror, Mystery            ",6.2
Ang pamana,2006,105,Drama            ,7.8
Ang pambansang third wheel,2018,97,"Comedy, Romance            ",6.8
Ang pamilyang hindi lumuluha,2017,105,Drama            ,7.2
Ang pamilyang kumakain ng lupa,2005,75,Comedy            ,5.4
Ang panahon ng halimaw,2018,234,"Drama, Musical            ",7.0
Ang panday,2009,110,"Action, Adventure, Comedy            ",4.1
Ang panday,2017,128,"Action, Adventure, Fantasy            ",5.6
Ang panday 2,2011,110,"Action, Adventure, Drama            ",5.8
Ang pangarap kong holdap,2018,107,Comedy            ,6.8
Ang pinakamagandang hayop sa balat ng lupa,1974,117,Drama            ,6.5
Ang probinsyano,1997,118,"Action, Drama            ",4.0
Ang probinsyano,2015,99,"Action, Adventure, Crime            ",3.6
Ang pumatay ng dahil sa iyo,1989,90,Action            ,8.7
Ang sayaw ng dalawang kaliwang paa,2011,85,Drama            ,7.1
Ang tag-araw ni Twinkle,2013,115,Drama            ,5.3
Ang tanging Ina,2003,95,"Comedy, Drama            ",7.1
Ang tanging ina mo: Last na 'to!,2010,105,"Comedy, Drama            ",6.1
Ang tanging ina n'yong lahat,2008,105,Comedy            ,5.5
Ang tanging pamilya (A Marry-Go-Round!),2009,104,Comedy            ,5.9
Ang tatay kong nanay,1978,116,Drama            ,7.1
Ang totoong buhay ni Pacita M.,1991,108,Drama            ,7.2
Ang turkey man ay pabo rin,2013,100,Comedy            ,7.1
Ang TV Movie: The Adarna Adventure,1996,100,"Adventure, Comedy, Fantasy            ",8.3
Ang utol kong hoodlum,1991,103,Action            ,3.2
Angel in June,2012,90,"Biography, Drama, Family            ",7.6
Angela Markado,1980,150,"Crime, Drama, Thriller            ",7.6
Angela Markado,2015,105,"Action, Crime, Drama            ",1.8
Angelito San Miguel: Ang Batang City Jail,1991,107,Action            ,9.1
Angels,2007,127,"Comedy, Drama            ",4.6
Anghel dela guardia,2000,105,"Action, Horror, Romance            ",6.9
Anghel na walang langit,1994,119,Drama            ,8.5
Anghel sa lupa,2003,90,Drama            ,5.7
ANi,2019,120,"Drama, Fantasy, Sci-Fi            ",4.0
Animal,2004,90,"Action, Crime, Drama            ",7.4
Anino,1999,145,"Action, Adventure, Drama            ",8.4
Anino sa dilim,1996,151,"Action, Drama, Romance            ",8.4
Anino sa likod ng buwan,2015,120,Drama            ,8.4
Anna Karenina,1996,90,"Drama, Romance            ",7.5
Ano bang meron ka?,2001,103,"Drama, Romance, Comedy            ",5.8
ÃnOfficially Yours,2012,106,"Comedy, Romance            ",5.6
Aparisyon,2012,87,Drama            ,7.1
"Apat dapat, dapat apat: Friends 4 lyf and death",2007,98,Comedy            ,6.5
Apocalypse Child,2015,95,Drama            ,6.6
Apoy sa karagatan,2001,85,Action            ,6.2
Apple of My Eye,2019,81,"Drama, Romance            ",6.7
April Boys: Sana'y mahalin mo rin ako,1996,113,"Comedy, Drama, Romance            ",8.4
Arayyy!,2000,90,"Comedy, Drama            ",7.1
Ari: My Life with a King,2015,89,Drama            ,7.1
Arisaka,2021,96,"Action, Thriller            ",5.2
Arnis: The Sticks of Death,1986,98,Action            ,4.6
Asawa ko huwag mong agawin,1987,130,Drama            ,6.4
Asboobs: Asal bobo,2003,90,"Comedy, War            ",7.8
Asedillo,1971,120,Action            ,6.9
Asintado,2014,93,Drama            ,4.5
Assault Platoon,1990,92,"Action, War            ",2.6
Astig,1993,101,"Action, Comedy            ",6.0
Astig,2009,91,"Action, Drama            ",6.1
Aswang,1992,125,Horror            ,6.5
Aswang,2011,110,"Action, Fantasy, Horror            ",5.5
Aswang,2019,85,Documentary            ,7.6
Aswang ng Quezon City,2006,73,Horror            ,3.9
Aswang: A Journey Into Myth,2008,81,"Drama, Horror, Mystery            ",6.8
Ataul: For Rent,2007,94,Drama            ,7.7
Ate,2008,100,Drama            ,6.9
Atsay,1978,96,Drama            ,7.4
Aurora,2009,85,"Drama, Horror            ",5.8
