title,yearReleased,runtimeinmins,genre,rating
Cleopatra Wong,1978,110,"Action, Adventure, Crime            ",5.7
Close to You,2006,110,Romance            ,6.4
Co-ed Scandal,2006,92,Crime            ,7.7
Colossal,2012,86,Drama            ,8.2
Combat Killers,1968,80,"Action, War            ",4.0
Coming Soon,2013,90,Comedy            ,8.4
Commander Lawin,1981,85,Action            ,4.0
Commando Invasion,1986,85,Action            ,5.6
Company of Women,1985,100,Crime            ,4.8
Compound,2006,110,"Drama, Thriller            ",6.9
Condo,2008,80,"Drama, Mystery, Thriller            ",5.7
Confessional,2007,90,"Comedy, Drama, Thriller            ",7.9
Cool Dudes 24/7,2001,85,"Adventure, Comedy            ",7.3
Corazon: Ang unang aswang,2012,101,"Drama, Horror            ",6.2
Cosa Nostra Asia,1974,76,Crime            ,4.7
Cover Girl Models,1975,73,Thriller            ,4.4
Crazy Beautiful You,2015,114,"Comedy, Drama, Romance            ",7.0
Crocodile Jones: The Son of Indiana Dundee,1990,99,"Adventure, Comedy            ",5.3
Cross My Heart,1982,134,Romance            ,4.2
Crush kong curly,2021,101,Comedy            ,6.8
Cry No Fear,2018,105,Thriller            ,7.1
Cry of Battle,1963,99,"Action, Adventure, Drama            ",5.7
Crying Ladies,2003,111,"Comedy, Drama            ",6.7
Cuatro y medya,1981,125,"Action, Comedy, Mystery            ",7.6
Cuchera,2011,90,Drama            ,5.6
Cuddle Weather,2019,95,"Drama, Romance            ",6.0
Culion,2019,136,Drama            ,8.9
Curacha ang babaeng walang pahinga,1998,141,Drama            ,7.1
"Curiosity, Adventure & Love",2016,62,Documentary            ,9.0
D' Anothers,2005,105,"Comedy, Horror            ",5.1
D' Kilabots Pogi Brothers Weh?!?,2012,105,Comedy            ,6.7
D' Lucky Ones!,2006,106,Comedy            ,6.7
D' Uragons,2002,115,"Action, Comedy            ",7.2
Da Dog Show,2015,92,"Drama, Family            ",6.7
Da du xiao,1975,86,"Action, Drama            ",5.4
Da Possessed,2014,120,"Comedy, Horror            ",6.0
Daddy Knows Best,1983,120,"Comedy, Drama            ",5.8
"Daddy O, Baby O!",2000,95,"Comedy, Drama, Family            ",6.6
Dagitab,2014,120,"Drama, Fantasy            ",7.2
Dagsin,2016,119,Drama            ,7.2
Dahas,1995,102,"Crime, Thriller, Drama            ",6.7
Dahil mahal kita: The Dolzura Cortez Story,1993,111,"Drama, Romance            ",7.8
Dahil mahal na mahal kita,1998,110,"Drama, Romance            ",6.7
Dahil may isang ikaw,1999,117,"Comedy, Drama, Musical            ",7.7
Dahil sa isang bulaklak,1967,100,"Drama, Romance            ",7.9
Dahling Nick,2015,178,"Documentary, Drama            ",7.2
Dalagang Ilokana,1954,150,"Comedy, Romance            ",6.7
Dalaw,2009,80,"Horror, Thriller            ",5.2
Dalaw,2010,100,"Drama, Horror            ",5.5
Dalawang pugad... Isang ibon,1977,110,"Drama, Romance            ",8.0
Damaso,2019,107,"Drama, Musical            ",9.0
Dampi,2010,65,Drama            ,6.4
Dapol tan payawar na Tayug 1931,2017,140,History            ,7.1
Darkest Night,2012,99,"Drama, Horror, Thriller            ",2.9
Darkroom,2017,95,"Drama, Horror            ",5.5
Darna,1951,90,"Action, Fantasy            ",6.8
Darna,1991,103,"Action, Adventure, Family            ",6.4
Darna at Ding,1980,119,"Comedy, Fantasy, Action            ",6.3
Darna vs. the Planet Women,1975,102,"Action, Adventure, Fantasy            ",5.4
Darna! Ang pagbabalik,1994,105,"Action, Adventure, Fantasy            ",5.8
Daughters of the Three Tailed Banner,2016,80,Drama            ,5.3
Day tingnga ti misteryo ti Kristo Negro,2009,70,Drama            ,3.0
Daybreak,2008,75,Romance            ,4.6
Dayo,2008,90,"Animation, Adventure, Fantasy            ",7.3
Dead Kids,2019,98,Thriller            ,5.3
Deadly Commando,1981,87,"Action, Adventure            ",4.3
Deadma Walking,2017,109,Comedy            ,7.9
Deadringer,1985,90,Action            ,5.6
Dear Diary,1989,103,"Comedy, Horror, Mystery            ",6.5
Dear Other Self,2017,110,"Comedy, Romance            ",6.9
Death Force,1978,96,"Action, Crime, Drama            ",5.3
Death March,2013,110,Drama            ,6.0
Death of a Girlfriend,2021,113,"Mystery, Romance, Thriller            ",5.3
Deathrow,2000,118,"Crime, Action, Drama            ",5.5
Debosyon,2013,82,"Drama, Fantasy            ",7.2
Ded na si Lolo,2009,90,Comedy            ,7.2
Deep Gold,2011,86,Action            ,3.1
Dekada '70,2002,128,Drama            ,7.4
Delia & Sammy,2018,84,"Comedy, Drama            ",8.7
Dementia,2014,95,Horror            ,5.8
Demon of Paradise,1987,87,"Horror, Thriller            ",3.8
Demonstone,1990,88,"Action, Crime, Fantasy            ",4.7
Desaparadiso,2015,75,Drama            ,4.5
Desire,1982,117,Drama            ,5.8
Desperadas,2007,102,"Comedy, Romance            ",5.3
Desperadas 2,2008,110,"Comedy, Romance            ",6.8
Devil Woman,1970,93,Horror            ,5.7
Di ingon 'nato,2011,101,Horror            ,7.5
'Di ko kayang tanggapin,2000,102,"Comedy, Romance            ",6.4
'Di puwedeng hindi puwede!,1999,108,"Action, Comedy            ",7.2
Diablo,2012,113,Drama            ,6.4
Diary ng panget,2014,110,"Comedy, Drama, Romance            ",5.9
Die Beautiful,2016,120,"Comedy, Drama            ",7.5
Dilim,2014,95,Horror            ,4.9
Diliryo,1997,127,Drama            ,6.9
Dingding lang ang pagitan,1986,107,Drama            ,8.2
Dinig sana kita,2009,88,"Drama, Music, Romance            ",8.0
Discreetly,2010,81,Comedy            ,5.7
Distance,2018,100,Drama            ,7.4
Dito at Doon,2021,98,Romance            ,6.7
Dito lang ako,2018,90,"Drama, Romance            ",5.9
Divina Gracia,1970,117,Drama            ,7.3
D'Ninang,2020,104,"Comedy, Romance            ",7.5
Do Re Mi,1996,110,"Comedy, Drama, Music            ",7.6
Doblado,2022,102,Drama            ,8.8
Dog Days,2018,124,Drama            ,6.5
Dolores,2009,80,Drama            ,5.3
Don Filipo,2021,92,"Horror, Thriller            ",5.6
Donor,2010,84,Drama            ,6.5
Donsol,2006,105,Drama            ,7.5
Don't Give Up on Us,2006,113,"Drama, Romance            ",7.4
Doomsdayer,2000,93,Action            ,3.5
Dormitoryo: Mga walang katapusang kwarto,2017,80,Comedy            ,7.6
Dos ekis,2001,120,"Crime, Romance, Thriller            ",6.5
DOTA: Nakakabaliw,2014,85,Drama            ,3.3
DOTGA: Da One That Ghost Away,2018,103,"Comedy, Horror            ",5.5
Double Barrel,2017,90,Action            ,7.8
Double Edge,1985,86,Action            ,6.3
Dreamboy,2005,110,Romance            ,7.1
"Droga, pagtatapat ng mga babaeng addict",1999,85,Drama            ,5.6
D'Survivors,2010,74,"Adventure, Comedy            ",5.7
Dubai,2005,110,"Drama, Romance            ",6.3
Duda,2003,112,Drama            ,4.8
Dugo at pag-ibig sa kapirasong lupa,1975,200,"Action, Drama, Romance            ",6.6
Dugo ng birhen: El kapitan,1999,111,"Action, Fantasy, Horror            ",5.5
Dugo ng panday,1993,127,"Action, Adventure, Fantasy            ",4.9
Dugong buhay,1983,119,"Action, Drama, Thriller            ",5.3
Dukot,2009,95,"Crime, Drama            ",7.7
Dukot,2016,95,"Action, Crime, Drama            ",5.8
Dulo,2021,104,Drama            ,6.0
D'Wild Wild Weng,1982,82,"Comedy, Western            ",6.6
Dyagwar: Havey o waley,2011,95,Crime            ,5.8
Dyesebel,1973,114,"Adventure, Family, Fantasy            ",5.1
Dyesebel,1990,101,"Drama, Fantasy, Romance            ",5.9
Ebolusyon ng isang pamilyang Pilipino,2004,540,Drama            ,7.6
Echorsis,2016,110,"Comedy, Horror            ",6.2
EDSA,2016,76,Drama            ,5.0
"EDSA XXX: Ganito kami noon, ganito pa rin kami ngayon",2014,85,"Drama, Fantasy, Musical            ",4.8
Edward,2019,82,"Comedy, Drama            ",7.2
Eerie,2018,101,"Horror, Mystery, Thriller            ",4.6
Ekis: Walang tatakas,1999,110,"Action, Drama            ",6.3
Ekstra,2013,111,Drama            ,7.6
El filibusterismo,1962,117,"Action, Drama            ",7.5
El Presidente,2012,162,"Action, Biography, Drama            ",5.8
Elehiya sa dumalaw mula sa himagsikan,2011,80,Drama            ,6.2
Elemento,2016,80,Horror            ,5.4
Elise,2019,105,Romance            ,7.6
Elvis & James,1989,103,"Comedy, Musical            ",7.5
Emir,2010,135,"Drama, Musical            ",6.7
Empty by Design,2019,86,Drama            ,7.9
Endo,2007,96,Drama            ,8.0
Enforcer from Death Row,1976,98,"Action, Adventure            ",4.1
Engkanto,1992,106,Fantasy            ,7.8
"English Only, Please",2014,115,Comedy            ,7.4
Enteng Kabisote 10 and the Abangers,2016,110,Comedy            ,3.6
Enteng Kabisote 3: Okay ka fairy ko... The legend goes on and on and on,2006,114,"Action, Comedy, Family            ",5.1
Enteng Kabisote 4: Okay ka fairy ko... The beginning of the legend,2007,109,"Action, Adventure, Comedy            ",6.8
"Enteng Kabisote: Okay ka, fairy ko, the legend",2004,114,"Action, Adventure, Comedy            ",6.3
Enteng ng Ina mo,2011,110,"Action, Adventure, Comedy            ",3.9
Epimaco Velasco: NBI,1994,117,"Action, Drama            ",7.7
Escape to Nowhere,1990,90,Action            ,4.8
Eseng ng Tondo,1997,113,Action            ,6.2
Eskapo,1995,117,"Drama, Thriller, Action            ",7.2
Eskrimadors,2010,66,"Documentary, Action, History            ",8.3
Esoterika: Maynila,2014,99,Drama            ,7.1
Esprit De Corps,2014,94,Drama            ,6.9
Estudyante blues,1989,102,Comedy            ,7.7
Eternal Fist,1992,95,"Action, Sci-Fi            ",4.8
Eternity,2006,105,"Drama, Romance            ",7.8
Etiquette for Mistresses,2015,122,"Comedy, Drama, Romance            ",6.3
Eto na naman ako,2000,98,"Action, Romance            ",7.1
Eva,2021,95,Drama            ,5.6
Every Breath You Take,2012,105,"Comedy, Romance            ",6.4
Everybody Loves Baby Wendy,2018,87,Comedy            ,5.3
Everyday I Love You,2015,122,"Drama, Romance            ",7.0
Everything About Her,2016,127,"Comedy, Drama            ",7.1
Ex Press,2011,90,"Documentary, Drama            ",7.7
Ex with Benefits,2015,145,"Drama, Romance            ",5.5
Ex-Con,2000,97,Action            ,8.2
Exes Baggage,2018,104,"Drama, Romance            ",6.4
Exit Point,2019,96,Action            ,6.4
Exodus: Tales from the Enchanted Kingdom,2005,106,"Action, Fantasy            ",5.2
Expressway,2016,93,Action            ,6.9
Extra Service,2017,103,"Action, Comedy            ",5.0
Extranghero,1997,106,"Comedy, Fantasy            ",4.8
Eye of the Eagle 2: Inside the Enemy,1989,78,"Action, Adventure, Romance            ",4.9
F#*@bois,2019,96,"Crime, Drama, Thriller            ",6.2
Fallback,2017,118,"Comedy, Romance            ",6.2
Familia Blondina,2019,106,Comedy            ,6.2
Family History,2019,125,Drama            ,7.8
Fan Girl,2020,100,Drama            ,6.6
Fangirl Fanboy,2017,99,"Comedy, Romance            ",7.9
Fantastica,2018,115,"Comedy, Fantasy            ",3.6
Faraway,2014,108,"Adventure, Drama, Fantasy            ",4.4
Father & Son,1995,136,"Comedy, Drama, Family            ",8.5
Father Jejemon,2010,105,Drama            ,5.7
Feelennial,2019,102,Comedy            ,5.9
Felix Manalo,2015,178,Biography            ,4.1
Feng Shui,2004,117,"Drama, Horror, Thriller            ",6.4
Feng Shui 2,2014,100,"Horror, Mystery, Thriller            ",5.1
Fidel,2009,105,Drama            ,7.0
Filipinas,2003,100,Drama            ,6.6
Final Reprisal,1988,88,"Action, War            ",5.2
Finally Found Someone,2017,125,"Comedy, Romance            ",5.7
Finding Agnes,2020,105,Drama            ,4.9
Finding You,2019,97,"Drama, Romance            ",6.0
Fireback,1983,90,Action            ,5.0
Firehawk,1993,92,"Action, Adventure, War            ",5.0
First Day High,2006,110,"Comedy, Mystery            ",6.2
First Love,2018,122,"Drama, Romance            ",5.9
First Time,2003,105,"Comedy, Romance, Drama            ",7.3
Flight to Fury,1964,80,Adventure            ,5.5
"Florentina Hubaldo, CTE",2012,360,Drama            ,7.4
Flotsam,2015,107,Drama            ,6.4
Fly Me,1973,74,"Action, Drama            ",4.8
Foolish Love,2017,103,"Comedy, Romance            ",6.0
For the First Time,2008,111,"Drama, Romance            ",5.9
For Y'ur Height Only,1981,88,"Action, Adventure, Comedy            ",5.6
Forbidden Women,1948,62,Adventure            ,4.5
Forever and a Day,2011,105,Drama            ,7.3
Forever My Love,2004,89,"Romance, Horror, Drama            ",6.6
Forgotten Soldiers,2012,87,"Documentary, Drama, History            ",8.2
Foster Child,2007,98,Drama            ,7.0
Four Sisters and a Wedding,2013,125,"Comedy, Drama            ",7.2
Four Sisters Before the Wedding,2020,116,"Comedy, Drama            ",6.1
Friends in Love,1983,112,"Drama, Romance            ",3.8
Future Hunters,1988,96,"Action, Adventure, Sci-Fi            ",4.2
Future War,1992,93,"Drama, Sci-Fi            ",4.7
G!,2019,83,"Adventure, Drama            ",8.3
Gagamboy,2004,100,"Action, Comedy, Fantasy            ",5.6
Gameboys: The Movie,2021,107,Romance            ,7.6
Gamitan,2002,115,"Action, Crime, Drama            ",6.5
Gandarrapiddo! The Revenger Squad,2017,110,Comedy            ,3.3
Gangland,1998,97,"Action, Drama            ",5.6
Ganito kami noon... Paano kayo ngayon?,1976,136,"Drama, Musical, Romance            ",7.7
Gatas... Sa dibdib ng kaaway,2001,101,"Drama, War            ",5.9
Gawin sa dilim 2,2000,120,Drama            ,1.6
Gayak,2012,76,"Drama, Family            ",6.1
Gaydar,2013,87,Comedy            ,5.8
Gayuma,1995,95,Drama            ,6.9
Gayuma,2015,95,Drama            ,5.3
General Admission,2021,85,"Crime, Drama            ",6.3
Genghis Bond: Agent 1-2-3,1965,100,"Action, Comedy, Crime            ",6.0
Genghis Khan,1950,88,Action            ,6.8
Gensan Punch,2021,110,Drama            ,5.7
Gigil,2006,94,Comedy            ,4.8
Gimik: The Reunion,1999,118,"Comedy, Drama, Family            ",8.5
"Girl, boy, bakla, tomboy",2013,102,Comedy            ,5.1
Girlfriend for Hire,2016,104,"Comedy, Romance            ",4.8
Glorious,2018,107,"Drama, Romance            ",5.9
Gluta,2021,86,Drama            ,4.9
God Gave Me You,2016,117,Drama            ,6.6
Goodbye America,1997,116,"Action, Drama, Romance            ",5.1
Got 2 Believe,2002,113,Romance            ,7.2
Goyo: Ang batang heneral,2018,155,"Action, Biography, History            ",6.5
Graceland,2012,84,"Crime, Thriller            ",6.6
Grease Gun Gang,1992,103,Action            ,7.9
Grepor Butch Belgica Story,1995,110,Action            ,7.7
Guerillas in Pink Lace,1964,96,Adventure            ,3.6
Guerrero,2017,101,"Comedy, Drama            ",9.3
Gumapang ka sa lusak,1990,120,"Action, Crime, Drama            ",6.5
Guniguni,2012,104,Horror            ,4.8
Gusto kita with all my hypothalamus,2018,105,Drama            ,7.2
Gusto ko nang lumigaya,2000,93,Drama            ,7.0
Guwapings: The First Adventure,1992,99,"Adventure, Comedy, Horror            ",6.2
Haba-baba-doo! Puti-puti-poo!,1998,90,"Comedy, Family            ",8.2
Hahamakin lahat,1990,103,Drama            ,6.7
Halaw,2010,75,Drama            ,6.8
Halik sa hangin,2015,110,"Mystery, Romance, Thriller            ",6.5
Hamog,2015,100,"Crime, Drama            ",7.7
Hanggang dito na lamang at maraming salamat,2007,102,"Comedy, Drama            ",8.0
Hanggang kailan kita mamahalin?,1997,132,Drama            ,6.4
Hanggang kailan?,2019,110,"Drama, Romance            ",6.4
Hanggang ngayon ika'y minamahal,1997,99,"Drama, Romance            ",5.3
Hangga't may hininga,1996,103,"Action, Drama            ",8.4
Haplos,1982,120,"Drama, Horror, Romance            ",7.0
Happy Breakup,2017,94,Romance            ,6.8
Happy Hearts,2007,97,"Comedy, Romance            ",5.6
Harana,2012,104,Documentary            ,7.0
Hardinero,2012,81,Drama            ,8.2
"Hari ng sablay: Isang tama, sampung mali",2005,104,Comedy            ,7.3
Hari ng selda: Anak ni Baby Ama 2,2002,120,Action            ,7.9
Hari ng Tondo,2014,91,"Comedy, Crime, Drama            ",6.6
Harry & Patty,2018,112,"Comedy, Romance            ",7.8
Hating kapatid,2010,109,"Comedy, Romance            ",6.7
Haunted Forest,2017,110,Horror            ,3.5
Haunted Mansion,2015,110,"Horror, Thriller            ",5.6
Haw haw de karabaw,1988,123,Comedy            ,5.9
Hayok: Hanggang saan ka papasok?,2012,78,Drama            ,7.2
Hayop ka!,2020,73,"Animation, Comedy, Romance            ",6.5
He Who Is Without Sin,2020,74,Drama            ,7.4
Headless (Pugot),2004,70,Drama            ,6.9
Heartache City,1985,105,"Drama, Romance            ",5.4
Heavenly Touch,2009,90,"Drama, Romance            ",5.6
Hele sa hiwagang hapis,2016,485,"Adventure, Drama, Fantasy            ",7.5
Hell Hole,1978,82,"Action, Crime, Drama            ",4.7
Hellcome Home,2019,106,"Horror, Thriller            ",6.5
"Hello, Love, Goodbye",2019,118,"Drama, Romance            ",7.3
"Hello, Stranger: The Movie",2021,101,"Comedy, Romance            ",7.0
Heneral Luna,2015,118,"Action, Biography, History            ",7.3
Here Comes the Bride,2010,108,"Comedy, Fantasy            ",6.3
Heremias: Unang aklat - Ang alamat ng prinsesang bayawak,2006,540,"Crime, Drama            ",7.5
Heroes for Hire,1984,84,Action            ,5.0
He's Into Her: The Movie Cut,2021,199,"Comedy, Romance            ",9.3
"Hesus, rebolusyunaryo",2002,112,"Action, Drama, Sci-Fi            ",6.3
Hibla,2002,105,Drama            ,5.1
Hide and Seek,2007,103,"Horror, Thriller            ",5.8
Higanti,2016,138,Action            ,6.7
High School Scandal,1981,90,Drama            ,6.9
High Tide,2017,108,"Adventure, Drama            ",8.4
Hihintayin kita sa langit,1991,120,"Drama, Romance            ",8.0
Himala,1982,124,Drama            ,7.9
Himala ngayon,2012,120,Documentary            ,8.9
Hindi nahahati ang langit,1985,127,Drama            ,7.5
Hindi pa tapos ang laban,1994,124,Action            ,2.7
Hindi pahuhuli ng buhay,1989,105,Action            ,7.7
Hindi sila tatanda,2014,108,"Comedy, Drama, Sci-Fi            ",5.5
Hindi tayo pwede,2020,98,Drama            ,5.0
Hintayan ng langit,2018,90,Drama            ,7.8
Hinugot sa langit,1985,121,Drama            ,6.7
Hinulid,2016,120,Drama            ,7.3
Hiram,2003,115,"Drama, Action            ",6.2
Historiographika errata,2017,123,Drama            ,8.8
Historya ni Ha,2021,276,Drama            ,7.3
Hitman,2012,95,Action            ,5.7
Home Alone da Riber,2002,105,"Comedy, Drama, Musical            ",7.3
Home Along da Riles da Movie,1993,130,"Action, Comedy, Crime            ",7.2
Homecoming,2003,100,Drama            ,5.3
"Honey, My Love, So Sweet",1999,108,"Drama, Romance            ",8.4
Hong tian long,1991,89,"Action, Crime, Drama            ",5.2
Honor Thy Father,2015,115,"Crime, Drama, Thriller            ",7.6
Honor: The Legacy of Jose Abad Santos,2018,70,"Documentary, History, War            ",8.7
Hostage,2001,100,Action            ,7.6
Hotshots,1984,109,"Comedy, Drama            ",3.1
House Tour,2021,95,Drama            ,5.0
How to Be Yours,2016,113,Romance            ,7.0
How to Disappear Completely,2013,79,Horror            ,6.6
Hubad na multo,2002,100,"Drama, Thriller, Horror            ",5.8
Hubad sa ilalim ng buwan,1999,110,"Drama, Romance            ",6.8
Hubo,2012,80,Drama            ,7.0
Hubo sa dilim,1986,102,"Drama, Mystery            ",7.2
Hubog,2001,100,"Crime, Drama            ",6.8
Hugas,2022,99,Drama            ,5.0
Hula mo huli ko,2002,101,"Action, Comedy            ",7.5
Huli sa akto,2001,97,"Action, Thriller            ",7.6
Hulihin si... Nardong Toothpick,1990,116,"Action, Adventure, Comedy            ",6.3
Huling balyan ng buhi,2006,105,"Drama, Musical            ",7.8
Huling halik,2011,82,Drama            ,4.4
Huling ulan sa tag-araw,2021,113,"Comedy, Drama, Romance            ",8.4
Humanap ka ng panget,1991,106,Comedy            ,2.7
Humanda ka Mayor!: Bahala na ang Diyos,1993,113,"Action, Crime, Drama            ",6.4
Hunter's Crossing,1983,91,"Action, Crime            ",4.3
Hustisya,2014,120,"Drama, Thriller            ",5.3
Hustler Squad,1975,98,"Action, Drama, War            ",3.4
Huwag kang kikibo...,2001,100,"Drama, Thriller            ",5.6
Huwag kang lalabas,2021,127,Horror            ,3.3
Huwag mong buhayin ang bangkay,1987,119,"Drama, Horror, Thriller            ",5.5
I Do Bidoo Bidoo: Heto nApo sila!,2012,120,"Comedy, Musical, Romance            ",7.8
I Do? I Die! (D'yos ko day),1997,95,Comedy            ,8.1
I Eat Your Skin,2019,73,Horror            ,2.6
I Love Dreamguyz,2009,91,Drama            ,4.9
I Love You Goodbye,2009,102,Drama            ,5.9
I Love You to Death,2016,105,Comedy            ,5.7
"I Love You, Hater",2018,120,Comedy            ,5.9
I Love You. Thank You.,2015,107,"Drama, Romance            ",6.7
"I Luv U, Pare ko",2013,100,Comedy            ,7.4
I Think I'm in Love,2002,100,"Romance, Drama, Comedy            ",7.7
I Wanna Be Happy,2006,108,Drama            ,5.6
I Will Always Love You,2006,117,Romance            ,5.6
I Will Survive,2004,102,"Comedy, Drama, Musical            ",6.3
I.T.A.L.Y. (I Trust and Love You),2008,94,"Comedy, Drama, Romance            ",5.2
Ibong Adarna,1941,124,"Adventure, Drama, Fantasy            ",6.4
Ibong Adarna,1972,92,"Adventure, Comedy, Fantasy            ",7.1
Ibong Adarna: The Pinoy Adventure,2014,90,"Adventure, Drama, Family            ",8.1
Ibulong mo sa Diyos,1988,82,Drama            ,8.3
Ibulong mo sa hangin,1966,90,"Drama, Horror            ",4.0
Id'Nal (Mapusok),2012,71,Drama            ,4.8
Idol: Pag-asa ng bayan,2007,77,Drama            ,5.0
Iginuhit ng Tadhana: The Ferdinand E. Marcos Story,1965,136,"Biography, Drama            ",8.1
Ignacio de Loyola,2016,118,"Action, Biography, Drama            ",5.7
Igorota,1968,85,Drama            ,9.1
Iisa,2015,91,"Drama, War            ",7.5
Ika-13 kapitulo,2000,116,Horror            ,6.2
Ika-pitong Gloria,2001,100,Drama            ,4.7
Ika-sampu,2010,80,Horror            ,6.4
Ikaw,2021,109,Drama            ,6.6
Ikaw ang mahal ko,1996,111,"Action, Romance, Comedy            ",7.2
Ikaw ang Miss Universe ng buhay ko,1994,105,Comedy            ,3.9
Ikaw ang pag-ibig,2011,120,Family            ,8.3
Ikaw ay akin,1978,124,"Drama, Romance            ",7.1
Ikaw lamang hanggang ngayon,2002,101,"Drama, Romance            ",7.6
Ikaw lang,1993,105,"Drama, Action, Thriller            ",7.6
Ikaw naman ang iiyak,1996,119,"Crime, Drama, Romance            ",7.8
Ikaw pa lang ang minahal,1992,106,Drama            ,7.5
Ikaw pa rin: Bongga ka Boy,2008,100,"Comedy, Musical, Romance            ",6.9
Ilawod,2017,95,Horror            ,6.1
Iliw,2009,102,"Drama, History            ",7.0
I'll Be There,2010,109,Drama            ,6.3
Ilusyon,2005,100,Drama            ,7.9
"I'm Drunk, I Love You",2017,140,Romance            ,7.1
I'm Ellenya L.,2019,79,"Comedy, Romance            ",6.5
Imagine You & Me,2016,120,"Comedy, Drama, Romance            ",6.7
Imbisibol,2015,132,Drama            ,6.6
Imburnal,2008,212,Drama            ,7.2
Imoral,2008,82,"Drama, Romance            ",6.4
Impakto,1996,99,Horror            ,6.1
In My Life,2009,120,"Comedy, Drama            ",6.4
In the Name of Love,2011,126,Drama            ,6.2
In Your Eyes,2010,114,"Drama, Romance            ",5.3
Ina ka ng anak mo,1979,90,Drama            ,8.3
"Ina, kapatid, anak",1979,93,Drama            ,7.7
Inagaw mo ang lahat sa akin,1995,103,Drama            ,7.7
Inang yaya,2006,99,Drama            ,7.8
Indak,2019,117,"Drama, Musical, Romance            ",7.2
Inday Bote,1985,999,"Comedy, Fantasy, Romance            ",7.0
Inday-Inday sa balitaw,1986,105,"Action, Comedy, Family            ",6.9
Indie Boys,2010,95,Drama            ,3.8
Init ng laman,1998,100,"Action, Romance            ",7.1
Init sa magdamag,1983,100,"Drama, Romance            ",7.2
Insiang,1976,95,Drama            ,7.5
Instalado,2017,104,Sci-Fi            ,7.4
Instant Mommy,2013,100,Comedy            ,6.8
inter.m@tes,2004,94,Drama            ,4.7
Intramuros,1964,88,"War, Drama            ",5.3
Intrusion: Cambodia,1983,90,"Action, War            ",3.3
Ipagpatawad mo,1991,103,Drama            ,8.4
"Isa pa, with feelings",2019,102,"Comedy, Romance            ",7.8
Isa pang bahaghari,2020,120,Drama            ,7.5
"Isa para sa lahat, lahat para sa isa",1979,117,Action            ,9.6
Isang Araw Lang,2009,100,"Action, Comedy, Drama            ",8.3
Isang araw walang Diyos,1989,128,"Action, Drama, War            ",6.4
Isang bala ka lang!,1983,115,"Action, Drama            ",8.6
"Isang kahig, tatlong tuka... (Daddy ka na, Mommy ka pa!)",1995,90,Comedy            ,5.2
Isda,2011,85,Drama            ,5.8
Iska,2019,100,Drama            ,6.7
Iskalawag: Ang batas ay batas,1997,103,Action            ,7.6
Iskwaterpangk,2007,79,Documentary            ,6.4
Isla,1985,118,"Drama, Romance            ",8.7
Island Dreams,2013,88,"Comedy, Romance            ",7.0
Isnats,2005,120,"Action, Comedy, Crime            ",7.1
Isusumbong kita sa tatay ko,1999,102,"Action, Comedy, Drama            ",8.0
It Takes a Man and a Woman,2013,120,"Comedy, Drama, Romance            ",6.7
Itanong mo sa buwan,1988,107,"Crime, Drama, Thriller            ",7.1
Itim,1976,105,"Drama, Horror, Thriller            ",6.6
Itlog,2002,105,"Drama, Romance            ",6.8
I've Fallen for You,2007,99,"Drama, Romance            ",6.3
Izla,2021,85,"Comedy, Horror            ",3.7
Jack & Jill,1987,123,Comedy            ,6.6
Jack and Jill,1954,100,Comedy            ,7.2
Jack Em Popoy: The Puliscredibles,2018,115,"Action, Comedy, Thriller            ",6.3
Jacqueline Comes Home: The Chiong Story,2018,104,Drama            ,2.1
Jaguar,1979,100,"Crime, Drama            ",7.3
James & Pat & Dave,2020,107,"Comedy, Romance            ",4.4
James Batman,1966,94,"Sci-Fi, Comedy, Action            ",5.5
Jay,2008,96,"Comedy, Crime, Drama            ",6.4
Jazz in Love,2013,75,"Documentary, Biography, Family            ",7.0
"Jeannie, bakit ngayon ka lang?",2002,103,"Comedy, Fantasy, Romance            ",7.4
Jino to Mari,2019,91,Drama            ,6.1
John Denver Trending,2019,98,Drama            ,7.8
Jologs,2002,110,"Comedy, Drama, Romance            ",7.1
Jos̩ Rizal,1998,178,"Biography, Drama, History            ",7.3
Juan & Ted: Wanted,2000,118,"Comedy, Action            ",6.1
Judge Max Asuncion: Hukom bitay,1995,90,"Action, Crime            ",4.6
Jungle Love,2012,85,Drama            ,6.1
Just a Stranger,2019,117,"Drama, Romance            ",5.9
Just One Summer,2012,110,"Comedy, Romance            ",7.2
Just the 3 of Us,2016,121,"Comedy, Romance            ",6.6
Just the Way You Are,2015,107,"Drama, Romance            ",6.3
Kabisera,2013,102,"Action, Crime, Thriller            ",7.5
Kabisera,2016,110,Drama            ,7.7
Kadenang bulaklak,1993,128,Drama            ,9.1
Kadin,2007,88,Drama            ,7.2
Kagadanan sa banwaan ning mga engkanto,2007,540,Drama            ,7.9
"Kahapon, may dalawang bata",1999,90,Drama            ,5.7
Kahit buhay ko...,1992,100,"Action, Drama            ",4.0
Kahit isang saglit,2000,110,"Romance, Drama            ",7.7
Kaibigan,2019,127,Family            ,7.0
Kailan tama ang mali,1986,103,Drama            ,8.9
Kailangan kita,2002,105,"Drama, Romance            ",7.8
Kailangan ko'y ikaw,2000,130,"Comedy, Musical, Romance            ",7.4
Kaka,2021,115,Comedy            ,5.5
Kakabakaba ka ba?,1980,104,"Comedy, Musical            ",7.2
Kalabit,2003,100,Drama            ,6.8
Kalabog en Bosyo,1994,105,"Action, Comedy, Mystery            ",6.3
Kalakal,2008,90,Drama            ,3.2
